seat_no,row,section,screen_id
274582,AAA,center,1
274583,AAA,center,1
274584,AAA,center,1
274585,AAA,center,1
274586,AAA,center,1
274587,AAA,center,1
274588,AAA,center,1
274589,AAA,center,1
274590,AAA,center,1
274591,AAA,center,1
274592,AAA,center,1
274593,AAA,center,1
274651,BBB,left,1
274652,BBB,left,1
274653,BBB,left,1
274654,BBB,left,1
274660,BBB,center,1
274661,BBB,center,1
274662,BBB,center,1
274663,BBB,center,1
274664,BBB,center,1
274665,BBB,center,1
274666,BBB,center,1
274667,BBB,center,1
274668,BBB,center,1
274669,BBB,center,1
274670,BBB,center,1
274671,BBB,center,1
274672,BBB,center,1
274673,BBB,center,1
274677,BBB,right,1
274678,BBB,right,1
274679,BBB,right,1
274680,BBB,right,1
274730,A,left,1
274731,A,left,1
274732,A,left,1
274733,A,left,1
274734,A,left,1
274739,A,center,1
274740,A,center,1
274741,A,center,1
274742,A,center,1
274743,A,center,1
274744,A,center,1
274745,A,center,1
274746,A,center,1
274747,A,center,1
274748,A,center,1
274749,A,center,1
274750,A,center,1
274751,A,center,1
274752,A,center,1
274753,A,center,1
274757,A,right,1
274758,A,right,1
274759,A,right,1
274760,A,right,1
274761,A,right,1
274810,B,left,1
274811,B,left,1
274812,B,left,1
274813,B,left,1
274814,B,left,1
274818,B,center,1
274819,B,center,1
274820,B,center,1
274821,B,center,1
274822,B,center,1
274823,B,center,1
274824,B,center,1
274825,B,center,1
274826,B,center,1
274827,B,center,1
274828,B,center,1
274829,B,center,1
274830,B,center,1
274831,B,center,1
274832,B,center,1
274833,B,center,1
274837,B,right,1
274838,B,right,1
274839,B,right,1
274840,B,right,1
274841,B,right,1
274842,B,right,1
274979,C,center,1
274980,C,center,1
274981,C,center,1
274982,C,center,1
274983,C,center,1
274984,C,center,1
274985,C,center,1
274986,C,center,1
274987,C,center,1
274988,C,center,1
274989,C,center,1
274990,C,center,1
274991,C,center,1
274992,C,center,1
274993,C,center,1
275128,D,left,1
275129,D,left,1
275130,D,left,1
275131,D,left,1
275132,D,left,1
275133,D,left,1
275134,D,left,1
275139,D,center,1
275140,D,center,1
275141,D,center,1
275142,D,center,1
275143,D,center,1
275144,D,center,1
275145,D,center,1
275146,D,center,1
275147,D,center,1
275148,D,center,1
275149,D,center,1
275150,D,center,1
275151,D,center,1
275152,D,center,1
275153,D,center,1
275157,D,right,1
275158,D,right,1
275159,D,right,1
275160,D,right,1
275161,D,right,1
275162,D,right,1
275163,D,right,1
275205,E,left,1
275206,E,left,1
275207,E,left,1
275208,E,left,1
275209,E,left,1
275210,E,left,1
275211,E,left,1
275212,E,left,1
275213,E,left,1
275214,E,left,1
275218,E,center,1
275219,E,center,1
275220,E,center,1
275221,E,center,1
275222,E,center,1
275223,E,center,1
275224,E,center,1
275225,E,center,1
275226,E,center,1
275227,E,center,1
275228,E,center,1
275229,E,center,1
275230,E,center,1
275231,E,center,1
